エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
金沢エリア	金沢駅	2025/08/04	同意する	2泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	長野	夫婦2人	地元の美味しいものを食べる, まちあるき、都市散策	新幹線	徒歩			20,000円以上 30,000円未満	10,000円以上 20,000円未満	20,000円以上 30,000円未満	2～5回目	観光パンフレット・ポスター, インターネット・アプリ, Instagram	ひがし茶屋街		選択なし/該当施設なし		10,000円以上 20,000円未満	とても満足	充実している	満足		感じた	ゴミ箱が見つからない。ペットボトルの破棄Boxが見つからない	9	なんでも揃っていて、不便がないです！	また行きたい（1年以内）	特になし	女	1974	東京都	足立区	400万円以上 500万円未満	景品が当たる	とても満足	10	
金沢エリア	KOKOHOTEL Premier 金沢香林坊	2025/08/05	同意する	4泊以上	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	福井県	自分ひとり	温泉や露天風呂, 地元の美味しいものを食べる, 買い物、アウトレット, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）	レンタカー, 新幹線	レンタカー	とても満足	雰囲気が良く、優しい人も多くて癒されます	20,000円以上 30,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	6～10回目	観光展・物産展, 観光パンフレット・ポスター, インターネット・アプリ	ひがし茶屋街	歩いて、見て、食べれるので	兼六園	歩くのが好きなので	20,000円以上 30,000円未満	とても満足	ほしくなるものがついつい	とても満足	見てて癒されます	感じなかった	優しい人が多いので	4	見て楽しめる食べ物が多い	また行きたい（1年以内）	十分良いです	男	1976	東京都	八王子市	400万円以上 500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	8	金沢駅　おしゃれなお店が多い
金沢エリア	金沢港クルーズターミナル	2025/08/05	同意する	4泊以上	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	岐阜県	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策, ドライブ・ツーリング	自家用車	自家用車			30,000円以上 40,000円未満	20,000円以上 30,000円未満	30,000円以上 40,000円未満	初めて	友人・知人	近江町市場		選択なし/該当施設なし	金沢港	使わない	どちらでもない	中に入っている飲食店の臨時休業日だったため	どちらでもない	中に入っている飲食店の臨時休業日だったため	感じなかった		5		機会があれば行きたい	魚の美味しいお店	男	1978	群馬県	前橋市	1,200万円以上 1,500万円未満	景品が当たる	とても満足	10	美味しいお店
金沢エリア	石川県観光物産館	2025/08/08	同意する	4泊以上	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, 友人・親戚を訪ねる	自家用車	自家用車			100,000円以上	40,000円以上 50,000円未満	100,000円以上	2～5回目	友人・知人	兼六園		選択なし/該当施設なし		3,000円以上 5,000円未満	満足	見やすい	満足	きれい	感じた	試食が少ない	7	お年寄りが　食べれるかたさ　甘さを知りたかったので　もう少し試食を増やしてほしい	機会があれば行きたい	年配向け、若い子向けのお土産をリーズナブルな値段で提供してほしい	女	1969	埼玉県	白岡市	1,500万円以上	景品が当たる	とても満足	10	食事がおいしい　
金沢エリア	金沢港クルーズターミナル	2025/08/09	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	福井県	sns交流会	お祭りやイベントへの参加・見物	自家用車	自家用車			使わない	使わない	使わない	初めて	Instagram	ひがし茶屋街		兼六園		使わない	どちらでもない		満足	広くて綺麗	感じなかった		5	次回に来た時には飲食もしたい	また行きたい（1年以内）	スイーツ巡り	女	1974	福井県	坂井市	1,000万円以上 1,200万円未満	景品が当たる	とても満足	5	活気がある
金沢エリア	ホテルルートイン金沢駅前	2025/08/09	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	友人	お祭りやイベントへの参加・見物	自家用車	自家用車			20,000円以上 30,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	2～5回目	友人・知人	ひがし茶屋街		選択なし/該当施設なし		20,000円以上 30,000円未満	どちらでもない		どちらでもない		感じなかった		5		また行きたい（1年以内）	テーマパーク	男	2000	福井県	大野市	1,200万円以上 1,500万円未満	ひゃくまんさんが好き, 動く３Dひゃくまんさんを見たい, なんとなく, 石川県を応援したいから	どちらでもない	5	
金沢エリア	尾山神社	2025/08/09	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	名所、旧跡の観光, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）	新幹線	徒歩			10,000円以上 20,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	友人・知人	近江町市場		兼六園		1,000円未満	満足	不都合なく見て回れたため	満足	厳かな雰囲気の神社で良かったから	感じなかった		6		機会があれば行きたい	特になし	女	1983	東京都	新宿区	1,200万円以上 1,500万円未満	景品が当たる	とても満足	8	兼六園 木々が立派だったから
金沢エリア	石川県立図書館	2025/08/10	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	親	まちあるき、都市散策, ドライブ・ツーリング	自家用車	自家用車			使わない	3,000円以上 5,000円未満	1,000円以上 3,000円未満	2～5回目	友人・知人	選択なし/該当施設なし		選択なし/該当施設なし	金沢大学	使わない	満足	綺麗だから	満足		感じた	自動販売機が準備中だった	5		機会があれば行きたい	どこも混雑していて入りにくい	男	1975	富山県	富山市	500万円以上 600万円未満	景品が当たる	どちらでもない	5	
金沢エリア	KOKOHOTEL Premier 金沢香林坊	2025/08/11	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	出張など仕事関係	新幹線	路線バス	どちらでもない		10,000円以上 20,000円未満	5,000円以上 10,000円未満	使わない	11回目以上	TV・ラジオ番組やCM, インターネット・アプリ	金沢21世紀美術館		選択なし/該当施設なし		30,000円以上 40,000円未満	どちらでもない		どちらでもない		感じた		5		どちらともいえない	なし	女	1996	福井県	坂井市	200万円以上 300万円未満	景品が当たる	どちらでもない	5	
金沢エリア	近江町市場商店街	2025/08/12	同意する	2泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	愛知	姉家族	友人・親戚を訪ねる	新幹線, 在来線	徒歩			10,000円以上 20,000円未満	使わない	10,000円以上 20,000円未満	6～10回目	インターネット・アプリ, Instagram	ひがし茶屋街		選択なし/該当施設なし	サービスエリアや道の駅に寄って帰る。	20,000円以上 30,000円未満	とても満足	数年に一度しか来ないですが、いろんなお店があるので楽しいです。	とても満足	人気スポットのため廃れることが無いので。	感じた	人が多いので、見ずらしい時もある。	10	食事やフルーツが豊富。食べ歩きスイーツなどあ等と良いかと思います。	また行きたい（1年以内）	九谷焼が可愛い。	女	1985	大阪府	吹田市	300万円以上 400万円未満	景品が当たる	とても満足	10	駅から徒歩やバスを使っていろんなところへ行ける。
金沢エリア	金沢中央観光案内所	2025/08/12	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光	新幹線, 在来線	徒歩	どちらでもない		5,000円以上 10,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ, Instagram	近江町市場		選択なし/該当施設なし		使わない	どちらでもない		どちらでもない		感じなかった		5		どちらともいえない	金箔以外の体験やアクティビティがほしい	男	1999	大阪府	大阪市	500万円以上 600万円未満	景品が当たる	満足	7	
金沢エリア	金沢中央観光案内所	2025/08/12	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	地元の美味しいものを食べる, 名所、旧跡の観光	新幹線, 在来線	徒歩			5,000円以上 10,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ, Instagram, 友人・知人	尾山神社		選択なし/該当施設なし	帰宅	使わない	どちらでもない		どちらでもない		感じなかった		5		どちらともいえない	特になし	女	2001	大阪府	豊中市	1,500万円以上	景品が当たる	満足	6	
金沢エリア	安江金箔工芸館	2025/08/13	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	新幹線	徒歩			40,000円以上 50,000円未満	40,000円以上 50,000円未満	10,000円以上 20,000円未満	初めて	新聞・雑誌・ガイドブック	ひがし茶屋街		選択なし/該当施設なし	白川郷	1,000円未満	満足	ショップにもっとお土産があるとよい	満足	見所があり、よかった	感じた	この施設の存在に気づきにくい	7	お手洗いが、遊び心のある感じでよかった。	また行きたい（1年以内）	交通がもう少しわかりやすいといい	女	1988	神奈川県	横浜市	600万円以上 700万円未満	景品が当たる	満足	8	どのお店に行ってもおもてなしの心がよかった
金沢エリア	金沢中央観光案内所	2025/08/13	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	自家用車	徒歩			10,000円以上 20,000円未満	5,000円以上 10,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	のど黒めし本舗いたる	近江町市場		3,000円以上 5,000円未満	とても満足	人気なだけあってとても美味しかった	満足	全体的に満足	感じた	待ち時間が長い	10		機会があれば行きたい	とりあえず美味しいものが食べたい	女	2004	東京都	世田谷区	600万円以上 700万円未満	景品が当たる, なんとなく	とても満足	8	ぜひ薦めたいが、住んでいる地域からだと行くまでに時間がかかる
金沢エリア	金沢能楽美術館	2025/08/13	同意する	4泊以上	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	神奈川県、福井県、山口県	自分ひとり	宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	新幹線	徒歩			20,000円以上 30,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	近江町市場		尾山神社		1,000円未満	満足	受付の対応は良かった	満足	舞台を模した一階の展示は、演者の動きがイメージできて良かった	感じなかった		6		また行きたい（1年以内）	アニメ・ゲーム等とのコラボ	男	1991	静岡県	御殿場市	600万円以上 700万円未満	ひゃくまんさんが好き, なんとなく	とても満足	9	美味しい食事 街全体の綺麗さ
金沢エリア	妙立寺	2025/08/14	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	地元の美味しいものを食べる, 名所、旧跡の観光	自家用車	自家用車			10,000円以上 20,000円未満	使わない	10,000円以上 20,000円未満	2～5回目	観光展・物産展, 新聞・雑誌・ガイドブック, TV・ラジオ番組やCM	金沢21世紀美術館		近江町市場		10,000円以上 20,000円未満	とても満足	ずっと行きたかった21世紀美術館に行きプールにも入れたからです。	満足	特別展が興味深いかったし、斬新な展示方がよかったです。	感じた	プールの中に入ると上からの写真が撮れないのが残念。	10	おみやげの充実がイマイチ。	機会があれば行きたい	すしべんという御当地の食事するところが斬新で楽しかったです。	女	1971	栃木県	小山市	300万円以上 400万円未満	景品が当たる	とても満足	10	妙立寺
金沢エリア	石川県政記念しいのき迎賓館	2025/08/14	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	宿でのんびり過ごす, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, スポーツ観戦や芸術鑑賞（コンサート等）, まちあるき、都市散策	新幹線	路線バス, 徒歩	満足	ふらっとバスには満足。他のバスで交通系ICを使えないので困った。	10,000円以上 20,000円未満	30,000円以上 40,000円未満	10,000円以上 20,000円未満	初めて	バス停の目の前だったから	金沢21世紀美術館		選択なし/該当施設なし	これから金沢駅に行って帰ります	使わない	とても満足	無料で使える観光案内所と休憩所に助けられた	とても満足	美しい建物と景色を楽しみながら休憩できた	感じなかった		6	自動販売機とゴミ箱があると嬉しい	あまり行きたいと思わない	寿司を楽しみにきたがどこも行列で入れなかった。	女	1991	茨城県	つくば市	700万円以上 800万円未満	景品が当たる, なんとなく, 歩き疲れたので休憩がてら	満足	3	金沢21世紀美術館、変わった建築で歩くだけで楽しい
金沢エリア	長町武家屋敷休憩館	2025/08/14	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	新幹線, 在来線	路線バス	満足	便が多い。	30,000円以上 40,000円未満	1,000円以上 3,000円未満	20,000円以上 30,000円未満	初めて	新聞・雑誌・ガイドブック, 観光協会等の案内所, タクシードライバーや地元の人	近江町市場		尾山神社		1,000円未満	満足	良かったから。	満足	良かったから。	感じなかった		6		機会があれば行きたい	兼六園などの歴史ある名所にある飲食店が無愛想だった。せっかくなのに気分が悪くなってしまう。	男	1989	奈良県	香芝市	500万円以上 600万円未満	景品が当たる	満足	8	たくさんの名所があることが魅力的だから。
金沢エリア	石川県立歴史博物館	2025/08/15	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	20,000円以上 30,000円未満	初めて	インターネット・アプリ	金沢21世紀美術館		選択なし/該当施設なし	帰宅	1,000円未満	満足	案内が丁寧だった	どちらでもない	まだ、見る前	感じなかった		5		機会があれば行きたい	特になし	男	1973	三重県	四日市市	1,200万円以上 1,500万円未満	なんとなく	とても満足	8	街並み、緑が多い
金沢エリア	近江町市場商店街	2025/08/15	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光	自家用車	自家用車	どちらでもない	混雑	10,000円以上 20,000円未満	使わない	10,000円以上 20,000円未満	初めて	インターネット・アプリ	ひがし茶屋街		選択なし/該当施設なし	石川県を離れる為	3,000円以上 5,000円未満	満足	色々な物がある	どちらでもない	大変混雑している	感じた	駐車場	8		機会があれば行きたい	特になし	男	1976	埼玉県	蓮田市	400万円以上 500万円未満	景品が当たる	どちらでもない	8	
金沢エリア	石川県政記念しいのき迎賓館	2025/08/15	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	自家用車	徒歩	不満	暑い中　日陰が無くてしんどかったです。	10,000円以上 20,000円未満	10,000円以上 20,000円未満	20,000円以上 30,000円未満	初めて	観光協会等の案内所	兼六園		金沢21世紀美術館		使わない	どちらでもない		どちらでもない		感じなかった		3		また行きたい（1年以内）	能登半島の復興を早く進めてもらい遊びに行きたいです	女	1976	大阪府	富田林市	200万円以上 300万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	5	
